Programme_Title,Original_DateTime,Show_DateTime,Venue,Category,Latitude,Longitude
FWD Fear And Dreams Eason Chan In Concert 19/20 (Programme cancelled),"9-12, 14-17, 19-22, 24-27, 29-30, 31 December 2019 (9:30pm), 1 January 2020",2019-01-09 8:00pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
Pop Concert,9 Jan 2019 (Wed) 8:15pm,2019-01-09 8:15pm,Sai Wan Ho Civic Centre (Cultural Activities Hall),Cultural Presentations & Film - Pop Concerts,22.281,114.203
Oldies Concert,10 Jan 2019 (Thu) 7:00pm,2019-01-10 7:00pm,Tai Po Civic Centre (Auditorium),Cultural Presentations & Film - Pop Concerts,22.4532,114.171
FWD Fear And Dreams Eason Chan In Concert 19/20 (Programme cancelled),"9-12, 14-17, 19-22, 24-27, 29-30, 31 December 2019 (9:30pm), 1 January 2020",2019-01-10 8:00pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
YF Life PRETTY CRAZY Joey Yung Concert Tour,"5-11, 13-18, 20-24 Aug 2019 (Mon-Sat) 8:15pm",2019-01-10 8:00pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
FWD Fear And Dreams Eason Chan In Concert 19/20 (Programme cancelled),"9-12, 14-17, 19-22, 24-27, 29-30, 31 December 2019 (9:30pm), 1 January 2020",2019-01-11 8:00pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
FWD Insurance presents Jacky Cheung A Classic Tour - Finale‧Hong Kong,"11-13 (Fri-Sun), 15-17 (Tue - Thu), 19-21 (Sat-Mon), 23-25(Wed-Fri), 27-29 (Sun-Tue) Jan 2019 8:15pm",2019-01-11 8:00pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
YF Life PRETTY CRAZY Joey Yung Concert Tour,"5-11, 13-18, 20-24 Aug 2019 (Mon-Sat) 8:15pm",2019-01-11 8:00pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
FWD Fear And Dreams Eason Chan In Concert 19/20 (Programme cancelled),"9-12, 14-17, 19-22, 24-27, 29-30, 31 December 2019 (9:30pm), 1 January 2020",2019-01-12 8:00pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
AXA Presents #FOLLOWMi Sammi Cheng World Tour - Hong Kong 2019,"12-16, 18-21, 23-24, 26-27 Jul 2019 (Fri-Sat) 8:15pm",2019-01-12 8:00pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
